time,vehicle_id,x,y,theta,v,a,delta,delay_active,outage,recv_ok,meas_available,xL_true,vL_true,xL_true_del,vL_true_del,obs_x,obs_v,xL_hat,vL_hat,applied_bias,applied_noise
0.0,0,101.0,1.5,0.0,10.001490142459033,0.01490142459033698,0.0,False,False,True,True,,,,,,,,,False,False
0.0,1,77.75,1.5,0.0,17.14999999747311,-3.5000000252688968,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.23086784941441,9.677623976390617,100.29748308496332,9.700665488828498,True,True
0.0,2,68.1,1.5,0.0,15.649999997461725,-3.5000000253827515,0.0,False,False,False,False,100.0,10.0,100.0,10.0,,,101.0,10.0,False,False
0.0,3,55.05,1.5,0.0,15.149999997615677,-3.5000000238432283,0.0,False,False,False,False,100.0,10.0,100.0,10.0,,,101.0,10.0,False,False
0.0,4,43.2,1.5,0.0,11.64999999846132,-3.5000000153868047,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.4594510923447,10.215842563101479,100.50985601805078,10.191856302848544,True,True
0.1,0,102.0001490142459,1.5,0.0,10.003792446646493,0.02302304187458726,0.0,False,False,True,True,,,,,,,,,False,False
0.1,1,79.4649999997473,1.5,0.0,16.79999999495771,-3.500000025154016,0.0,False,False,False,False,101.0,10.001490142459033,101.0,10.001490142459033,,,101.26754963384617,9.700665488828498,False,False
0.1,2,69.66499999974617,1.5,0.0,15.299999994953492,-3.50000002508234,0.0,False,False,True,True,101.0,10.001490142459033,101.0,10.001490142459033,101.06526280703252,10.010002151176227,101.14858212734269,9.9941562596584,True,True
0.1,3,56.56499999976157,1.5,0.0,14.799999995265159,-3.5000000235051836,0.0,False,False,False,False,101.0,10.001490142459033,101.0,10.001490142459033,,,102.0,10.0,False,False
0.1,4,44.364999999846134,1.5,0.0,11.299999997074057,-3.5000000138726373,0.0,False,False,False,False,101.0,10.001490142459033,101.0,10.001490142459033,,,101.52904164833564,10.191856302848544,False,False
0.2,0,103.00052825891055,1.5,0.0,10.00451833346119,0.007258868146981023,0.0,False,False,True,True,,,,,,,,,False,False
0.2,1,81.14499999924308,1.5,0.0,16.449999992462327,-3.5000000249538257,0.0,True,False,True,True,102.0001490142459,10.003792446646493,100.0,10.0,99.3433598776711,10.063289016190266,100.71724233081251,9.761122083663848,True,True
0.2,2,71.19499999924152,1.5,0.0,14.949999992482654,-3.50000002470838,0.0,True,False,False,False,102.0001490142459,10.003792446646493,100.0,10.0,,,102.14799775330853,9.9941562596584,False,False
0.2,3,58.04499999928808,1.5,0.0,14.449999992949111,-3.5000000231604824,0.0,True,False,True,True,102.0001490142459,10.003792446646493,100.0,10.0,99.53806200119206,9.759331239658518,99.8362753395592,9.700665960462862,True,True
0.2,4,45.49499999955354,1.5,0.0,10.94999999586569,-3.5000000120836607,0.0,True,False,True,True,102.0001490142459,10.003792446646493,100.0,10.0,99.23018967196188,9.913505640937585,100.77437171586196,9.899092168380479,True,True
0.30000000000000004,0,104.00098009225667,1.5,0.0,10.00024408890255,-0.0427424455864037,0.0,False,False,True,True,,,,,,,,,False,False
0.30000000000000004,1,82.78999999848932,1.5,0.0,16.099999989988493,-3.5000000247383314,0.0,True,False,True,True,103.00052825891055,10.00451833346119,101.0,10.001490142459033,101.36110958261133,9.798403010040543,101.56514827356843,9.763254693956258,True,True
0.30000000000000004,2,72.68999999848978,1.5,0.0,14.59999999005197,-3.500000024306842,0.0,True,False,False,False,103.00052825891055,10.00451833346119,101.0,10.001490142459033,,,103.14741337927437,9.9941562596584,False,False
0.30000000000000004,3,59.489999998582995,1.5,0.0,14.099999990680496,-3.5000000226861583,0.0,True,False,False,False,103.00052825891055,10.00451833346119,101.0,10.001490142459033,,,100.80634193560547,9.700665960462862,False,False
0.30000000000000004,4,46.58999999914011,1.5,0.0,10.599999994899715,-3.5000000096597494,0.0,True,False,True,True,103.00052825891055,10.00451833346119,101.0,10.001490142459033,100.99968065504059,9.843151392500378,101.46408533802317,9.84997252238126,True,True
0.4,0,105.00100450114692,1.5,0.0,9.99843896906586,-0.018051198366881908,0.0,False,False,True,True,,,,,,,,,False,False
0.4,1,84.39999999748817,1.5,0.0,15.749999987538317,-3.500000024501761,0.0,True,False,False,False,104.00098009225667,10.00024408890255,102.0001490142459,10.003792446646493,,,102.54147374296406,9.763254693956258,False,False
0.4,2,74.14999999749497,1.5,0.0,14.249999987663967,-3.5000000238800313,0.0,True,False,True,True,104.00098009225667,10.00024408890255,102.0001490142459,10.003792446646493,103.22628810650038,10.06830142906713,103.63807739308092,9.97534838048321,True,True
0.4,3,60.899999997651044,1.5,0.0,13.749999988475684,-3.500000022048117,0.0,True,False,True,True,104.00098009225667,10.00024408890255,102.0001490142459,10.003792446646493,101.6897271892604,10.459455054956981,101.76648156884384,10.09119495572837,True,True
0.4,4,47.649999998630086,1.5,0.0,10.249999994244044,-3.500000006556713,0.0,True,False,False,False,104.00098009225667,10.00024408890255,102.0001490142459,10.003792446646493,,,102.4490825902613,9.84997252238126,False,False
0.5,0,106.0008483980535,1.5,0.0,10.002019888238708,0.03580919172846952,0.0,False,False,True,True,,,,,,,,,False,False
0.5,1,85.97499999624199,1.5,0.0,15.399999985117086,-3.5000000242123077,0.0,True,False,True,True,105.00100450114692,9.99843896906586,103.00052825891055,10.00451833346119,103.40984741693748,10.080870541250913,103.49212975710374,9.873618958895547,True,True
0.5,2,75.57499999626137,1.5,0.0,13.899999985319324,-3.500000023446433,0.0,True,False,True,True,105.00100450114692,9.99843896906586,103.00052825891055,10.00451833346119,103.24270411771643,9.844297594343333,104.07239350626287,9.864767266970688,True,True
0.5,3,62.274999996498615,1.5,0.0,13.399999986324714,-3.5000000215096985,0.0,True,False,True,True,105.00100450114692,9.99843896906586,103.00052825891055,10.00451833346119,103.68737846732739,9.796890001128599,103.12059789451214,10.013427962180172,True,True
0.5,4,48.67499999805449,1.5,0.0,9.899999993945737,-3.5000000029830667,0.0,True,False,True,True,105.00100450114692,9.99843896906586,103.00052825891055,10.00451833346119,103.47233740369478,9.551910302388643,103.43425092747772,9.743368900651465,True,True
0.6000000000000001,0,107.00105038687738,1.5,0.0,10.002992140146892,0.00972251908184385,0.0,False,False,True,True,,,,,,,,,False,False
0.6000000000000001,1,87.5149999947537,1.5,0.0,15.049999982725499,-3.500000023915861,0.0,True,False,False,False,106.0008483980535,10.002019888238708,104.00098009225667,10.00024408890255,,,104.47949165299329,9.873618958895547,False,False
0.6000000000000001,2,76.9649999947933,1.5,0.0,13.549999983022907,-3.500000022964175,0.0,True,False,True,True,106.0008483980535,10.002019888238708,104.00098009225667,10.00024408890255,104.1084389520485,9.764859688841359,104.7349410193504,9.797650055755584,True,True
0.6000000000000001,3,63.614999995131086,1.5,0.0,13.049999984234946,-3.5000000208976747,0.0,True,False,False,False,106.0008483980535,10.002019888238708,104.00098009225667,10.00024408890255,,,104.12194069073016,10.013427962180172,False,False
0.6000000000000001,4,49.664999997449065,1.5,0.0,9.549999994151124,-3.499999997946138,0.0,True,False,True,True,106.0008483980535,10.002019888238708,104.00098009225667,10.00024408890255,104.6068182366771,10.10644399340174,104.48766380869179,9.865291748142887,True,True
0.7000000000000001,0,108.00134960089207,1.5,0.0,10.00578598050424,0.027938403573485957,0.0,False,False,True,True,,,,,,,,,False,False
0.7000000000000001,1,89.01999999302625,1.5,0.0,14.699999980365272,-3.500000023602278,0.0,True,False,True,True,107.00105038687738,10.002992140146892,105.00100450114692,9.99843896906586,105.19742155609464,9.773743490068869,105.36026571178074,9.823980105307811,True,True
0.7000000000000001,2,78.31999999309559,1.5,0.0,13.199999980781156,-3.5000000224175185,0.0,True,False,False,False,107.00105038687738,10.002992140146892,105.00100450114692,9.99843896906586,,,105.71470602492596,9.797650055755584,False,False
0.7000000000000001,3,64.91999999355458,1.5,0.0,12.699999982212468,-3.5000000202247863,0.0,True,False,True,True,107.00105038687738,10.002992140146892,105.00100450114692,9.99843896906586,104.54692785637317,10.118368364222825,104.90955017744032,10.023609823641596,True,True
0.7000000000000001,4,50.61999999686418,1.5,0.0,9.199999995011146,-3.499999991399781,0.0,True,False,False,False,107.00105038687738,10.002992140146892,105.00100450114692,9.99843896906586,,,105.47419298350609,9.865291748142887,False,False
0.8,0,109.0019281989425,1.5,0.0,10.002466975582223,-0.033190049220180845,0.0,False,False,True,True,,,,,,,,,False,False
0.8,1,90.48999999106277,1.5,0.0,14.349999978042739,-3.50000002322533,0.0,True,False,True,True,108.00134960089207,10.00578598050424,106.0008483980535,10.002019888238708,105.70274508601317,10.068978972084794,106.14362980152687,9.874140961230152,True,True
0.8,2,79.63999999117371,1.5,0.0,12.849999978600854,-3.500000021803012,0.0,True,False,True,True,108.00134960089207,10.00578598050424,106.0008483980535,10.002019888238708,106.449129090218,9.974347093248236,106.61495146732781,9.846377000379498,True,True
0.8,3,66.18999999177584,1.5,0.0,12.3499999802665,-3.5000000194596907,0.0,True,False,True,True,108.00134960089207,10.00578598050424,106.0008483980535,10.002019888238708,105.97828852075094,10.201106738815403,105.94059921125506,10.082007764615446,True,True
0.8,4,51.539999996365296,1.5,0.0,8.849999996705678,-3.499999983054669,0.0,True,False,True,True,108.00134960089207,10.00578598050424,106.0008483980535,10.002019888238708,106.46993902405016,9.37807086742076,106.4407814075104,9.701899965755231,True,True
0.9,0,110.00217489650072,1.5,0.0,10.00493268309535,0.024657075131256714,0.0,False,False,True,True,,,,,,,,,False,False
0.9,1,91.92499998886704,1.5,0.0,13.999999975760568,-3.5000000228217125,0.0,True,False,False,False,109.0019281989425,10.002466975582223,107.00105038687738,10.002992140146892,,,107.13104389764989,9.874140961230152,False,False
0.9,2,80.9249999890338,1.5,0.0,12.49999997648662,-3.50000002114233,0.0,True,False,False,False,109.0019281989425,10.002466975582223,107.00105038687738,10.002992140146892,,,107.59958916736576,9.846377000379498,False,False
