time,vehicle_id,x,y,theta,v,a,delta,delay_active,outage,recv_ok,meas_available,xL_true,vL_true,xL_true_del,vL_true_del,obs_x,obs_v,xL_hat,vL_hat,applied_bias,applied_noise
0.0,0,101.0,1.5,0.0,10.004967141530113,0.04967141530112327,0.0,False,False,True,True,,,,,,,,,False,False
0.0,1,77.75,1.5,0.0,17.14999999748083,-3.5000000251916976,0.0,False,False,True,True,100.0,10.0,100.0,10.0,99.93086784941441,10.129537707620138,100.02815056575498,10.109103435191244,False,True
0.0,2,68.1,1.5,0.0,15.649999997460828,-3.5000000253917256,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.76151492820401,9.953169325055333,100.78260115608262,9.955488644610833,False,True
0.0,3,55.05,1.5,0.0,15.149999997622096,-3.500000023779028,0.0,False,False,True,True,100.0,10.0,100.0,10.0,99.8829315215254,10.315842563101478,99.98603971706684,10.278099251512026,False,True
0.0,4,43.2,1.5,0.0,11.649999998442556,-3.50000001557443,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.38371736457646,9.90610512281301,100.43842740654868,9.909635288147674,False,True
0.1,0,102.00049671415302,1.5,0.0,10.010392741965973,0.05425600435859647,0.0,False,False,True,True,,,,,,,,,False,False
0.1,1,79.46499999974809,1.5,0.0,16.799999994971408,-3.5000000250942245,0.0,False,False,True,True,101.0,10.004967141530113,101.0,10.004967141530113,100.76829115359376,9.911821190816061,100.89778974768033,10.003629020374536,False,True
0.1,2,69.66499999974607,1.5,0.0,15.29999999494839,-3.500000025124387,0.0,False,False,True,True,101.0,10.004967141530113,101.0,10.004967141530113,101.12098113578301,9.622311092598553,101.43884011933955,9.772472377194722,False,True
0.1,3,56.56499999976221,1.5,0.0,14.799999995272493,-3.5000000234960225,0.0,False,False,True,True,101.0,10.004967141530113,101.0,10.004967141530113,100.13754108374349,9.892509635681918,100.56282835692525,10.063462379511218,False,True
0.1,4,44.36499999984426,1.5,0.0,11.299999997036984,-3.500000014055728,0.0,False,False,True,True,101.0,10.004967141530113,101.0,10.004967141530113,100.49358443983279,10.067816608049167,100.96168246867629,9.966016027279391,False,True
0.2,0,103.00153598834962,1.5,0.0,10.00131250121076,-0.0908024075521211,0.0,False,False,True,True,,,,,,,,,False,False
